source,parsed,table_count,cell_count
data_raw/cn_official_legacy/round_03/raw/pages/chara/index.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__chara__index.html.tables.json,4,8
data_raw/cn_official_legacy/round_03/raw/pages/chara/m_1__s_1.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__chara__m_1__s_1.html.tables.json,2,1313
data_raw/cn_official_legacy/round_03/raw/pages/chara/m_1__s_2.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__chara__m_1__s_2.html.tables.json,2,2461
data_raw/cn_official_legacy/round_03/raw/pages/chara/m_1__s_3.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__chara__m_1__s_3.html.tables.json,2,1969
data_raw/cn_official_legacy/round_03/raw/pages/cp/index.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__cp__index.html.tables.json,2,4775
data_raw/cn_official_legacy/round_03/raw/pages/cp/m_4__t_1.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__cp__m_4__t_1.html.tables.json,2,13333
data_raw/cn_official_legacy/round_03/raw/pages/music/index.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__music__index.html.tables.json,4,8
data_raw/cn_official_legacy/round_03/raw/pages/music/m_2__s_1.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__music__m_2__s_1.html.tables.json,2,3561
data_raw/cn_official_legacy/round_03/raw/pages/music/m_2__s_2.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__music__m_2__s_2.html.tables.json,2,6691
data_raw/cn_official_legacy/round_03/raw/pages/music/m_2__s_3.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__music__m_2__s_3.html.tables.json,2,5341
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__paper__index.html.tables.json,44,483
data_raw/cn_official_legacy/round_03/raw/pages/root.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__root.html.tables.json,4,15
data_raw/cn_official_legacy/round_03/raw/pages/work/index.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__work__index.html.tables.json,4,9
data_raw/cn_official_legacy/round_03/raw/pages/work/m_3__s_1.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__work__m_3__s_1.html.tables.json,2,232
data_raw/cn_official_legacy/round_03/raw/pages/work/m_3__s_2.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__work__m_3__s_2.html.tables.json,2,628
data_raw/cn_official_legacy/round_03/raw/pages/work/m_3__s_3.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__work__m_3__s_3.html.tables.json,2,254
data_raw/cn_official_legacy/round_03/raw/pages/work/m_3__s_4.html,data_raw/cn_official_legacy/round_03/processed/summary_tables/pages__work__m_3__s_4.html.tables.json,2,181
