source,parsed,table_count,cell_count
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__chara__index.html.tables.json,4,10
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__chara__mod_chara__step_1.html.tables.json,2,557
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_2.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__chara__mod_chara__step_2.html.tables.json,2,696
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_3.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__chara__mod_chara__step_3.html.tables.json,2,696
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_4__w_2.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__chara__mod_chara__step_4__w_2.html.tables.json,2,974
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_5.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__chara__mod_chara__step_5.html.tables.json,2,3634
data_raw/cn_official_legacy/round_01/raw/pages/music/index.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__music__index.html.tables.json,4,9
data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_1.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__music__mod_music__step_1.html.tables.json,2,1617
data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_2.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__music__mod_music__step_2.html.tables.json,2,2021
data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_3.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__music__mod_music__step_3.html.tables.json,2,2021
data_raw/cn_official_legacy/round_01/raw/pages/music/mod_music__step_4__w_2.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__music__mod_music__step_4__w_2.html.tables.json,2,2829
data_raw/cn_official_legacy/round_01/raw/pages/paper/index.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__paper__index.html.tables.json,25,275
data_raw/cn_official_legacy/round_01/raw/pages/root.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__root.html.tables.json,4,13
data_raw/cn_official_legacy/round_01/raw/pages/work/index.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__work__index.html.tables.json,4,8
data_raw/cn_official_legacy/round_01/raw/pages/work/mod_work__step_1.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__work__mod_work__step_1.html.tables.json,2,204
data_raw/cn_official_legacy/round_01/raw/pages/work/mod_work__step_2.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__work__mod_work__step_2.html.tables.json,2,175
data_raw/cn_official_legacy/round_01/raw/pages/work/mod_work__step_3.html,data_raw/cn_official_legacy/round_01/processed/summary_tables/pages__work__mod_work__step_3.html.tables.json,2,61
