source,parsed,table_count,cell_count
data_raw/cn_official_legacy/round_04/raw/pages/chara/index.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__chara__index.html.tables.json,3,6
data_raw/cn_official_legacy/round_04/raw/pages/chara/m_chara__t_full.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__chara__m_chara__t_full.html.tables.json,1,17
data_raw/cn_official_legacy/round_04/raw/pages/chara/m_chara__t_paper.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__chara__m_chara__t_paper.html.tables.json,1,13
data_raw/cn_official_legacy/round_04/raw/pages/chara/m_chara__t_simple.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__chara__m_chara__t_simple.html.tables.json,1,8
data_raw/cn_official_legacy/round_04/raw/pages/cp/index.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__cp__index.html.tables.json,1,11
data_raw/cn_official_legacy/round_04/raw/pages/cp/m_cp__s_1.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__cp__m_cp__s_1.html.tables.json,1,11
data_raw/cn_official_legacy/round_04/raw/pages/cp/v_result__m_cp__s_1.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__cp__v_result__m_cp__s_1.html.tables.json,1,11
data_raw/cn_official_legacy/round_04/raw/pages/music/index.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__music__index.html.tables.json,3,6
data_raw/cn_official_legacy/round_04/raw/pages/music/m_music__t_full.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__music__m_music__t_full.html.tables.json,1,17
data_raw/cn_official_legacy/round_04/raw/pages/music/m_music__t_paper.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__music__m_music__t_paper.html.tables.json,1,13
data_raw/cn_official_legacy/round_04/raw/pages/music/m_music__t_simple.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__music__m_music__t_simple.html.tables.json,1,8
data_raw/cn_official_legacy/round_04/raw/pages/paper/index.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__paper__index.html.tables.json,69,721
data_raw/cn_official_legacy/round_04/raw/pages/root.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__root.html.tables.json,4,15
data_raw/cn_official_legacy/round_04/raw/pages/work/index.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__work__index.html.tables.json,3,7
data_raw/cn_official_legacy/round_04/raw/pages/work/m_work__t_chara.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__work__m_work__t_chara.html.tables.json,1,6
data_raw/cn_official_legacy/round_04/raw/pages/work/m_work__t_full.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__work__m_work__t_full.html.tables.json,1,19
data_raw/cn_official_legacy/round_04/raw/pages/work/m_work__t_game.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__work__m_work__t_game.html.tables.json,1,10
data_raw/cn_official_legacy/round_04/raw/pages/work/m_work__t_simple.html,data_raw/cn_official_legacy/round_04/processed/summary_tables/pages__work__m_work__t_simple.html.tables.json,1,7
