source,parsed,table_count,cell_count
data_raw/cn_official_legacy/round_09/raw/pages/chara/index.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__chara__index.html.tables.json,1,15
data_raw/cn_official_legacy/round_09/raw/pages/chara/m_chara__type_contrast.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__chara__m_chara__type_contrast.html.tables.json,1,20
data_raw/cn_official_legacy/round_09/raw/pages/chara/m_chara__type_crossvote.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__chara__m_chara__type_crossvote.html.tables.json,2,9
data_raw/cn_official_legacy/round_09/raw/pages/chara/m_chara__type_progress.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__chara__m_chara__type_progress.html.tables.json,3,16
data_raw/cn_official_legacy/round_09/raw/pages/chara/m_chara__type_simple.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__chara__m_chara__type_simple.html.tables.json,1,18
data_raw/cn_official_legacy/round_09/raw/pages/cp/index.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__cp__index.html.tables.json,1,9
data_raw/cn_official_legacy/round_09/raw/pages/cp/m_cp__type_simple.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__cp__m_cp__type_simple.html.tables.json,1,18
data_raw/cn_official_legacy/round_09/raw/pages/game/index.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__game__index.html.tables.json,9,114
data_raw/cn_official_legacy/round_09/raw/pages/game/m_game.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__game__m_game.html.tables.json,9,114
data_raw/cn_official_legacy/round_09/raw/pages/game/m_game__type_simple.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__game__m_game__type_simple.html.tables.json,9,114
data_raw/cn_official_legacy/round_09/raw/pages/music/index.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__music__index.html.tables.json,1,15
data_raw/cn_official_legacy/round_09/raw/pages/music/m_music__type_contrast.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__music__m_music__type_contrast.html.tables.json,1,20
data_raw/cn_official_legacy/round_09/raw/pages/music/m_music__type_crossvote.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__music__m_music__type_crossvote.html.tables.json,2,9
data_raw/cn_official_legacy/round_09/raw/pages/music/m_music__type_progress.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__music__m_music__type_progress.html.tables.json,3,16
data_raw/cn_official_legacy/round_09/raw/pages/music/m_music__type_simple.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__music__m_music__type_simple.html.tables.json,1,18
data_raw/cn_official_legacy/round_09/raw/pages/paper/index.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__paper__index.html.tables.json,11,91
data_raw/cn_official_legacy/round_09/raw/pages/root.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__root.html.tables.json,4,15
data_raw/cn_official_legacy/round_09/raw/pages/work/index.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__work__index.html.tables.json,1,11
data_raw/cn_official_legacy/round_09/raw/pages/work/m_work__type_simple.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__work__m_work__type_simple.html.tables.json,1,25
data_raw/cn_official_legacy/round_09/raw/pages/work/m_work__type_workchara.html,data_raw/cn_official_legacy/round_09/processed/summary_tables/pages__work__m_work__type_workchara.html.tables.json,1,20
